,state,year,code,btu_per_person
115,RI,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.16123577674737608
116,RI,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.16114054245222825
117,SC,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.17449694456611822
118,SC,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.17081843460958185
119,SC,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.1687893061175452
120,SD,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.23235077841988208
121,SD,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.21295103237927043
122,SD,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.21094411574708885
123,TN,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.1891369520051699
124,TN,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.17904442780206037
125,TN,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.17807722867224923
126,TX,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.15061965570691477
127,TX,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.14752184937443988
128,TX,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.14589037161644455
129,UT,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.15685407875134413
